Text Inputs : Specimen label,"2.165"
General : Start Date,1/28/2011 12:46 PM
General : End Date,1/28/2011 12:48 PM
Maximum Compressive load : Maximum Compressive load,9.57026,kgf
Maximum Compressive load : Compressive stress at Maximum Compressive load,1.00370,MPa

Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00007,-0.01589
0.00180,-0.00007,-0.01579
0.10000,-0.00007,-0.00149
0.20000,-0.00011,-0.00090
0.30000,-0.00025,-0.00189
0.40000,-0.00049,0.00294
0.50000,-0.00073,0.00074
0.60000,-0.00095,0.00082
0.70000,-0.00114,-0.00063
0.80000,-0.00133,-0.00132
0.90000,-0.00150,-0.00288
1.00000,-0.00168,0.00163
1.10000,-0.00184,0.00133
1.20000,-0.00201,-0.00205
1.30000,-0.00218,-0.00131
1.40000,-0.00234,0.00073
1.50000,-0.00250,-0.00300
1.60000,-0.00267,-0.00099
1.70000,-0.00284,-0.00051
1.80000,-0.00301,-0.00492
1.90000,-0.00317,-0.00356
2.00000,-0.00334,0.00114
2.10000,-0.00351,0.00018
2.20000,-0.00368,-0.00077
2.30000,-0.00384,0.00009
2.40000,-0.00401,-0.00075
2.50000,-0.00417,-0.00248
2.60000,-0.00433,-0.00355
2.70000,-0.00451,-0.00537
2.80000,-0.00467,-0.00194
2.90000,-0.00484,-0.00266
3.00000,-0.00501,-0.00122
3.10000,-0.00518,0.00078
3.20000,-0.00535,-0.00089
3.30000,-0.00551,0.00065
3.40000,-0.00568,-0.00340
3.50000,-0.00585,-0.00283
3.60000,-0.00602,-0.00573
3.70000,-0.00619,-0.00479
3.80000,-0.00635,0.00031
3.90000,-0.00652,-0.00363
4.00000,-0.00669,-0.00121
4.10000,-0.00686,-0.00085
4.20000,-0.00703,-0.00103
4.30000,-0.00720,-0.00100
4.40000,-0.00737,-0.00224
4.50000,-0.00753,-0.00813
4.60000,-0.00769,-0.00255
4.70000,-0.00786,-0.00003
4.80000,-0.00803,-0.00292
4.90000,-0.00819,-0.00010
5.00000,-0.00836,0.00231
5.10000,-0.00853,-0.00323
5.20000,-0.00870,0.00050
5.30000,-0.00887,-0.00533
5.40000,-0.00904,-0.00623
5.50000,-0.00920,-0.00483
5.60000,-0.00937,-0.00171
5.70000,-0.00953,0.00224
5.80000,-0.00970,-0.00184
5.90000,-0.00987,-0.00249
6.00000,-0.01004,-0.00236
6.10000,-0.01020,-0.00068
6.20000,-0.01037,-0.00053
6.30000,-0.01054,-0.00850
6.40000,-0.01070,-0.00192
6.50000,-0.01087,-0.00098
6.60000,-0.01103,-0.00042
6.70000,-0.01120,-0.00074
6.80000,-0.01136,0.00023
6.90000,-0.01153,0.00009
7.00000,-0.01170,-0.00346
7.10000,-0.01186,0.00002
7.20000,-0.01203,-0.00398
7.30000,-0.01219,-0.00659
7.40000,-0.01236,0.00042
7.50000,-0.01253,-0.00111
7.60000,-0.01270,0.00008
