travel,force
0,2.176208258
0,2.176208496
0,2.176208496
0,2.176169395
0,2.17615366
0,2.176098824
0,2.176020622
0,2.175942421
0,2.175856113
0,2.175762177
0,2.175644398
0,2.175605297
0,2.175527096
0,2.175472021
0,2.175425053
0,2.175503254
0,2.175550222
0,2.175597191
0,2.175659657
0,2.175706863
0,2.175753832
0,2.175746202
0,2.175785303
0,2.17587924
0,2.175887108
0,2.17587924
0,2.175801039
0,2.175738573
0,2.17558217
0,2.175542355
0,2.175534487
0,2.175487518
0,2.175463915
0,2.175323725
0,2.175315142
0,2.17519021
0,2.175228834
0,2.175252438
0,2.175401211
0,2.175346613
0,2.17531538
0,2.175307274
0,2.175323009
0,2.175307274
0,2.175244808
0,2.175221205
0,2.175127268
0,2.175049067
0,2.175103426
0,2.175345659
0,2.175807238
2.90573E-06,2.176520586
8.71718E-06,2.177550554
2.03401E-05,2.179015398
3.77446E-05,2.180899858
6.38515E-05,2.183158159
9.57996E-05,2.185935259
0.000127748,2.189109087
0.000168517,2.192557573
0.000206187,2.196387529
0.000249818,2.200507402
0.000293449,2.205054522
0.00033994,2.210181475
0.000389293,2.21616292
0.000438645,2.223242998
0.000493959,2.231971025
0.000549272,2.242530107
0.000604346,2.255164385
0.000665382,2.269995928
0.000723556,2.286841631
0.000784591,2.305640459
0.000848487,2.326148272
0.000909522,2.348120928
0.000973418,2.371314287
0.001040176,2.395362139
0.001104072,2.419898272
0.001170829,2.444556475
0.001238063,2.469214678
0.00130482,2.493750811
0.001374438,2.518409014
0.001444057,2.542945147
0.001517013,2.56784749
0.001589492,2.592993975
0.001662448,2.618262529
0.001737788,2.643897295
0.001813605,2.669654131
0.001888946,2.695777178
0.001964286,2.722266436
0.002040103,2.748999834
0.002115443,2.775855303
0.002194121,2.803076982
0.0022728,2.830542803
0.002351001,2.858252764
0.002426818,2.886206865
0.00250788,2.914038897
0.002586558,2.942115068
0.00266476,2.97006917
0.002746299,2.998267412
0.002824977,3.026343584
0.002903178,3.054297686
0.002981856,3.082251787
0.003060058,3.110083818
0.003141597,3.13791585
0.003217414,3.165747881
0.003295615,3.193579912
0.003377154,3.221534014
0.003455356,3.249488115
0.003534034,3.277442217
0.003615573,3.305640459
0.003693774,3.333838701
0.003772452,3.362281084
0.003853515,3.390723467
0.003935054,3.41940999
0.004013732,3.448218584
0.004094794,3.477027178
0.004176334,3.506079912
0.004257873,3.535132647
0.004338935,3.564307451
0.004423335,3.593604326
0.004502013,3.622901201
0.004585937,3.652320147
0.004667476,3.681617022
0.004749015,3.711035967
0.004830077,3.740332842
0.004911616,3.769507647
0.004993156,3.798682451
0.005074218,3.827979326
0.005155757,3.857276201
0.005237296,3.886695147
0.005318359,3.916114092
0.005399898,3.945655107
0.005484298,3.975318193
0.005568698,4.004981041
0.005652621,4.034888268
0.005734161,4.064795494
0.005818561,4.094824791
0.005899623,4.124976158
0.005984023,4.155127525
0.006065562,4.185156822
0.006152824,4.215186119
0.006236747,4.245215416
0.006321147,4.275366783
0.006405547,4.30551815
0.006489947,4.335547447
0.006574348,4.365698814
0.006658271,4.395850182
0.006742671,4.426001549
0.006821349,4.456152916
0.006908598,4.486404896
0.006989661,4.516678333
0.007074061,4.546951771
0.0071556,4.577347279
0.007239523,4.607620716
0.007321062,4.637894154
0.007402602,4.668167591
0.007486525,4.698563099
0.007568064,4.728836536
0.007649603,4.759232044
0.007734003,4.789749622
0.007815066,4.82014513
0.007899466,4.850540638
0.007981005,4.881180286
0.008064928,4.911819935
0.008149329,4.942703724
0.008233729,4.973587513
0.008318129,5.004593372
0.008399191,5.035599232
0.008486453,5.066727161
0.008567992,5.097733021
0.008652392,5.12886095
0.008733454,5.15986681
0.008814993,5.190872669
0.008899393,5.221878529
0.008980456,5.252640247
0.009061995,5.283524036
0.009146395,5.314285755
0.009227457,5.345169544
0.009308997,5.375931263
0.009393397,5.406815052
0.009474936,5.437820911
0.009558859,5.4687047
0.009640398,5.49971056
0.00972766,5.530716419
0.00981206,5.561844349
0.009893122,5.593094349
0.009980383,5.624344349
0.010064784,5.655594349
0.010149184,5.686844349
0.010233107,5.71833849
0.010320368,5.74983263
0.010404768,5.781570911
0.010489169,5.813065052
0.010573569,5.844559193
0.010660353,5.876053333
0.010744753,5.907303333
0.010826292,5.938797474
0.010907832,5.970047474
0.010991755,6.001053333
0.011070433,6.031937122
0.011157694,6.062698841
0.011238757,6.09333849
0.011320296,6.123978138
0.011401835,6.154617786
0.011482897,6.185135365
0.011564436,6.215775013
0.011648837,6.246292591
0.011733237,6.276810169
0.011814299,6.307449818
0.011895838,6.338211536
0.011977377,6.369217396
0.012064162,6.400223255
0.012145701,6.431107044
0.01222724,6.462234974
0.01231164,6.493240833
0.012395564,6.524246693
0.012477103,6.555374622
0.012561503,6.586380482
0.012642565,6.617386341
0.012726965,6.64827013
0.012808505,6.679031849
0.012889567,6.709671497
0.012973967,6.740433216
0.013052645,6.770828724
0.013133707,6.801468372
0.013218108,6.83198595
0.013299647,6.862625599
0.013381186,6.893387318
0.013465109,6.924149036
0.013549509,6.954910755
0.01363391,6.985916615
0.013715449,7.016922474
0.013799372,7.048050404
0.013880911,7.079544544
0.013965311,7.110794544
0.014046374,7.142288685
0.014130774,7.174026966
0.014215174,7.205521107
0.014302435,7.237259388
0.014386836,7.268997669
0.014470759,7.30073595
0.014555159,7.332474232
0.014639559,7.364212513
0.014723959,7.395706654
0.014807883,7.426956654
0.014892283,7.458206654
0.014973822,7.489456654
0.015054884,7.520584583
0.015136424,7.551590443
0.015215102,7.582596302
0.015299025,7.613724232
0.015380564,7.644852161
0.015462103,7.675980091
0.015543166,7.707230091
0.015630428,7.738480091
0.015711967,7.769974232
0.015793506,7.801468372
0.015874568,7.832962513
0.015956108,7.864456654
0.016040508,7.896194935
0.016127769,7.927689075
0.016208831,7.959427357
0.016296092,7.990921497
0.016377632,8.022659302
0.016462032,8.054153442
0.016545955,8.085891724
0.016627494,8.117630005
0.016711894,8.149124146
0.016792957,8.180862427
0.016874496,8.212600708
0.016958896,8.244094849
0.017039958,8.27583313
0.017121498,8.307571411
0.017203037,8.339065552
0.017287437,8.370803833
